Record Length,2250,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
Vertical Units,CH1:V,,-0.00000450000,-1.04000,
Vertical Scale,CH1:2.00,,-0.00000449600,-1.04000,
Vertical Offset,CH1:-0.08000,,-0.00000449200,-1.12000,
Horizontal Units,s,,-0.00000448800,-0.96000,
Horizontal Scale,0.0000005000,,-0.00000448400,-0.88000,
Model Number,ADS-3072B,,-0.00000448000,-0.72000,
Serial Number,NEU00004121681,,-0.00000447600,-0.48000,
Software Version,5.01.02.13,,-0.00000447200,-0.40000,
,,,-0.00000234400,0.08000,
,,,-0.00000234000,0.08000,
,,,-0.00000233600,0.08000,
,,,-0.00000233200,0.08000,
,,,-0.00000232800,0.08000,
,,,-0.00000232400,0.08000,
,,,-0.00000232000,0.08000,
,,,-0.00000231600,0.08000,
,,,-0.00000231200,0.08000,
,,,-0.00000230800,0.08000,
,,,-0.00000230400,0.16000,
,,,-0.00000230000,0.08000,
,,,-0.00000229600,0.16000,
,,,-0.00000229200,0.08000,
,,,-0.00000228800,0.00,
,,,-0.00000228400,0.08000,
,,,-0.00000228000,0.08000,
,,,-0.00000227600,0.08000,
,,,-0.00000227200,0.08000,
,,,-0.00000226800,0.08000,
,,,-0.00000226400,0.16000,
,,,-0.00000226000,0.08000,
,,,-0.00000225600,0.16000,
,,,-0.00000225200,0.16000,
,,,-0.00000224800,0.16000,
,,,-0.00000224400,0.16000,
,,,-0.00000224000,0.08000,
,,,-0.00000223600,0.16000,
,,,-0.00000223200,0.08000,
,,,-0.00000222800,0.08000,
,,,-0.00000222400,0.08000,
,,,-0.00000222000,0.08000,
,,,-0.00000221600,0.08000,
,,,-0.00000221200,0.08000,
,,,-0.00000220800,0.00,
,,,-0.00000220400,0.08000,
,,,-0.00000220000,0.08000,
,,,-0.00000219600,0.08000,
,,,-0.00000219200,0.08000,
,,,-0.00000218800,0.08000,
,,,-0.00000218400,0.16000,
,,,-0.00000218000,0.08000,
,,,-0.00000217600,0.16000,
,,,-0.00000217200,0.16000,
,,,-0.00000216800,0.08000,
,,,-0.00000216400,0.16000,
,,,-0.00000216000,0.08000,
,,,-0.00000215600,0.16000,
,,,-0.00000215200,0.16000,
,,,-0.00000214800,0.08000,
,,,-0.00000214400,0.08000,
,,,-0.00000214000,0.08000,
,,,-0.00000213600,0.16000,
,,,-0.00000213200,0.00,
,,,-0.00000212800,0.00,
,,,-0.00000212400,0.08000,
,,,-0.00000212000,0.08000,
,,,-0.00000211600,0.08000,
,,,-0.00000211200,0.08000,
,,,-0.00000210800,0.00,
,,,-0.00000210400,0.08000,
,,,-0.00000210000,0.08000,
,,,-0.00000209600,0.16000,
,,,-0.00000209200,0.16000,
